商品名稱A,商品名稱B,商品網址A,價格A,商品網址B,價格B,搜尋詞,label,LLM result
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【小雲書屋】營養師推薦的減肥食譜158例 2014-6-1 山西科學技術,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22422666332895,79,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【現貨】 原正版老舊書 重慶菜譜 四川風味食譜學習家常烹飪炒菜技術1974年,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22424740362905,1884,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【PChome 24h購物】MUAN 木質書夾閱讀架 可調式多功能看書架 便攜書架（學生讀書架/閱讀架/看書架/平板架/食譜架）,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22437705100720,599,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【小雲書屋】魚的200道食譜 犀文圖書 編寫 2013-1 浙江科學技術,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22422663071139,167,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【小雲書屋】豆腐的200道食譜 犀文圖書 編寫 2013-1 浙江科學技術,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22422663071612,167,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,百病食療大全🔥全套3本 正版 簡體中文📕學用中藥養生治病一本通 很老很老的老偏方大病小病一掃光 家庭營養食譜,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22416350314573,744,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【PChome 24h購物】莫比自然食-犬糧食譜 1.5kg_(雞肉米幼母犬 /成犬/低卡關節/羊肉米成犬),https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22443074525053,430,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【現貨】 原正版老舊書 調鼎集 清代菜譜食譜烹飪書80年代學習中國美食文化,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22424740504330,3681,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【現貨】 川味小吃 正版老舊書菜譜1981年飲食文化做家常食譜烹飪四川風味,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22424740430338,585,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【小雲書屋】特效食譜速查全書-常見病吃什麼？禁什麼 2013-3 湖南美術,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22422663909184,118,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【現貨】 原正版老舊書 豐澤園飯莊菜譜 81年代老食譜 廚師學烹飪做菜技術,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22424740172162,1324,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【現貨】 原版大眾川菜 正版老菜譜四川菜食譜烹飪書籍1984年版老書舊書,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22424740583607,712,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【小雲書屋】高清版女人生理調養食譜1688例 犀文圖書 編寫 2012-5-1 浙江科學技術,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22422663086315,132,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【現貨】 正版老版本舊書籍 杭州菜譜 老食譜烹飪方法浙江風味菜譜原版老書,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22424732772204,1026,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【現貨】 原正版老舊書 大眾菜譜 70年代老菜譜匯集264款學習家常菜點食譜,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22424740210109,350,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【小雲書屋】高清版五臟營養調理食譜1688例 犀文圖書 編寫 2012-5-1 浙江科學技術,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22422663081938,132,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【PChome 24h購物】希爾思成貓 11歲以上雞肉特調食譜1.58kg,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22434404271182,810,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【小雲書屋】家常養生食譜一本全 家庭.生活.健康叢書編委會 2013-4-1 中國人口,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22422664559131,132,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【小雲書屋】瘦身養顏食譜200款 優圖生活 2011-1 廣東旅遊,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22422665615584,148,食譜,x,否
【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,【小雲書屋】電飯鍋營養食譜 犀文圖書 2012-2-1 江蘇科學技術,https://www.ruten.com.tw/item/show?22435495721969,1833,https://www.ruten.com.tw/item/show?22422663032608,152,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【PChome 24h購物】Mobby莫比 自然食-S26鮭魚馬鈴薯 全齡犬無穀食譜 7.5kg,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22443074525132,2075,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥 特調食譜_(小顆粒)6.8KG/15LB,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22435496246298,1833,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥特調食譜(原顆粒) 7.5KG,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22435495721969,1833,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】面點的200道食譜 犀文圖書 編寫 2013-1 浙江科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663074176,167,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】蔬菜的200道食譜 犀文圖書 編寫 2013-1 浙江科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663072387,167,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】肉的200道食譜 犀文圖書 編寫 2013-1 浙江科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663069260,167,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】肉的200道食譜 犀文圖書 編寫 2013-1 浙江科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663069260,167,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】蛋的200道食譜 犀文圖書 編寫 2013-1 浙江科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663072994,167,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】專家推薦的養胃食譜158例 2014-6 山西科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422662923279,79,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】雞的200道食譜 犀文圖書 編寫 2013-1 浙江科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663069822,167,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】營養師推薦的減肥食譜158例 2014-6-1 山西科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422666332895,79,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【現貨】 原正版老舊書 重慶菜譜 四川風味食譜學習家常烹飪炒菜技術1974年,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22424740362905,1884,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【PChome 24h購物】MUAN 木質書夾閱讀架 可調式多功能看書架 便攜書架（學生讀書架/閱讀架/看書架/平板架/食譜架）,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22437705100720,599,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】魚的200道食譜 犀文圖書 編寫 2013-1 浙江科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663071139,167,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】豆腐的200道食譜 犀文圖書 編寫 2013-1 浙江科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663071612,167,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,百病食療大全🔥全套3本 正版 簡體中文📕學用中藥養生治病一本通 很老很老的老偏方大病小病一掃光 家庭營養食譜,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22416350314573,744,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【PChome 24h購物】莫比自然食-犬糧食譜 1.5kg_(雞肉米幼母犬 /成犬/低卡關節/羊肉米成犬),https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22443074525053,430,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【現貨】 原正版老舊書 調鼎集 清代菜譜食譜烹飪書80年代學習中國美食文化,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22424740504330,3681,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【現貨】 川味小吃 正版老舊書菜譜1981年飲食文化做家常食譜烹飪四川風味,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22424740430338,585,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】特效食譜速查全書-常見病吃什麼？禁什麼 2013-3 湖南美術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663909184,118,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【現貨】 原正版老舊書 豐澤園飯莊菜譜 81年代老食譜 廚師學烹飪做菜技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22424740172162,1324,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【現貨】 原版大眾川菜 正版老菜譜四川菜食譜烹飪書籍1984年版老書舊書,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22424740583607,712,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】高清版女人生理調養食譜1688例 犀文圖書 編寫 2012-5-1 浙江科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663086315,132,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【現貨】 正版老版本舊書籍 杭州菜譜 老食譜烹飪方法浙江風味菜譜原版老書,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22424732772204,1026,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【現貨】 原正版老舊書 大眾菜譜 70年代老菜譜匯集264款學習家常菜點食譜,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22424740210109,350,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】高清版五臟營養調理食譜1688例 犀文圖書 編寫 2012-5-1 浙江科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663081938,132,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【PChome 24h購物】希爾思成貓 11歲以上雞肉特調食譜1.58kg,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22434404271182,810,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】家常養生食譜一本全 家庭.生活.健康叢書編委會 2013-4-1 中國人口,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422664559131,132,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】瘦身養顏食譜200款 優圖生活 2011-1 廣東旅遊,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422665615584,148,食譜,x,否
【小雲書屋】健康蔬菜食譜百科吃對蔬菜.排毒保健 莊司泉 2013-6 河北科技,【小雲書屋】電飯鍋營養食譜 犀文圖書 2012-2-1 江蘇科學技術,https://www.ruten.com.tw/item/show?22422662928555,246,https://www.ruten.com.tw/item/show?22422663032608,152,食譜,x,否
【小雲書屋】營養師推薦的減肥食譜158例 2014-6-1 山西科學技術,【PChome 24h購物】Mobby莫比 自然食-S26鮭魚馬鈴薯 全齡犬無穀食譜 7.5kg,https://www.ruten.com.tw/item/show?22422666332895,79,https://www.ruten.com.tw/item/show?22443074525132,2075,食譜,x,否
【小雲書屋】營養師推薦的減肥食譜158例 2014-6-1 山西科學技術,【PChome 24h購物】Hill′s希爾思 成犬/高齡犬 雞肉與大麥 特調食譜_(小顆粒)6.8KG/15LB,https://www.ruten.com.tw/item/show?22422666332895,79,https://www.ruten.com.tw/item/show?22435496246298,1833,食譜,x,否
